corpus	text	refind	label	description	class	relations	notes
sanzhi	patima	0015	a fox		anm		
sanzhi	patima	0016	story		abs		
sanzhi	patima	0017	deeds		abs		
sanzhi	patima	0018	0015 and 0011		anm	> 0011, 0015	
sanzhi	patima	0019	a place		loc		
sanzhi	patima	0020	urine		inm		bridging-contained: reference to light verb complement
sanzhi	patima	0021	ice		inm		
sanzhi	patima	0022	a fork		inm		
sanzhi	patima	0023	a spade		inm		
sanzhi	patima	0024	belly of 0011		bdp		
sanzhi	patima	0025	0000 and 0005		hum	> 0000, 0005	
sanzhi	patima	0026	mattress		inm		
sanzhi	patima	0027	barn		loc		
sanzhi	patima	0028	cotton		inm		
sanzhi	patima	0029	door		inm	M 0002	
sanzhi	ramazan	0000	a journalist		hum		
sanzhi	ramazan	0001	Tawlu		hum		
sanzhi	ramazan	0002	an article		abs		
sanzhi	ramazan	0003	surname of 0001		abs		
sanzhi	ramazan	0004	such		abs		
sanzhi	ramazan	0005	passport of 0001		inm		
sanzhi	ramazan	0006	such		abs		
sanzhi	ramazan	0007	a story like this		abs		
sanzhi	ramazan	0008	stories like this		abs		
sanzhi	ramazan	0009	the most beautiful place		abs		
sanzhi	ramazan	0010	the world		loc		
sanzhi	ramazan	0011	(speaker)		hum		
sanzhi	ramazan	0012	Latvia		loc		
sanzhi	ramazan	0013	fruit		inm		
sanzhi	ramazan	0014	forests		loc		
sanzhi	ramazan	0015	roads in 0012		inm		
sanzhi	ramazan	0016	lorry of 0011		inm		
sanzhi	ramazan	0017	towns in 0012		loc		
sanzhi	ramazan	0018	traffic lights		inm		
sanzhi	ramazan	0019	two people		hum		
sanzhi	ramazan	0020	three people		hum		
sanzhi	ramazan	0021	end of the road		loc		
sanzhi	ramazan	0022	house in 0012		loc		
sanzhi	ramazan	0023	pieces of asphalt		inm		
sanzhi	ramazan	0024	chewing gum		inm		
sanzhi	ramazan	0025	asphalt		inm		
sanzhi	ramazan	0026	(impersonal reference)		hum		
sanzhi	ramazan	0027	the letter D		inm		
sanzhi	ramazan	0028	middle of licence plate		loc		
sanzhi	ramazan	0029	front of the lorry		loc		
sanzhi	ramazan	0030	that trick		abs		
sanzhi	ramazan	0031	a Russian woman		hum		
sanzhi	ramazan	0032	0011 and others		hum	> 0011	
sanzhi	ramazan	0033	torso of 0011		bdp	M 0011	
sanzhi	ramazan	0034	gold		inm		
sanzhi	ramazan	0035	dressing table		inm		
sanzhi	ramazan	0036	audience		hum		
sanzhi	ramazan	0037	rings		inm		
sanzhi	ramazan	0038	bracelets		inm		
sanzhi	ramazan	0039	all things		inm		
sanzhi	ramazan	0040	money		inm		
sanzhi	ramazan	0041	wealth of 0031		inm		
sanzhi	ramazan	0042	circumstances		abs		
sanzhi	ramazan	0043	lock		inm		
sanzhi	ramazan	0044	first neighbour		hum		
sanzhi	ramazan	0045	second and third neighbour		hum		
sanzhi	ramazan	0046	our place		loc		
sanzhi	ramazan	0047	face of 0011		bdp	M 0011	
sanzhi	ramazan	0048	conscience of 0011		abs		
sanzhi	ramazan	0049	room with 0035		loc		
sanzhi	ramazan	0050	things not belonging to 0011		inm		
sanzhi	ramazan	0051	being accused of theft		abs		
sanzhi	ramazan	0052	a match		inm		
sanzhi	ramazan	0053	light of 0052		inm		
sanzhi	ramazan	0054	a cigarette		inm		
sanzhi	ramazan	0055	passers-by		hum		
sanzhi	ramazan	0056	cleanliness		abs		
sanzhi	ramazan	0057	ashes		inm		
sanzhi	ramazan	0058	like that		abs		
sanzhi	ramazan	0059	such a place		loc		
sanzhi	ramazan	0060	the worst place		loc		
sanzhi	ramazan	0061	Azerbaijan		loc		
sanzhi	ramazan	0062	every town		loc		
sanzhi	ramazan	0063	Soviet Union		loc		
sanzhi	ramazan	0064	a racket		abs		
sanzhi	ramazan	0065	a scandal		abs		
sanzhi	ramazan	0066	diesel fuel		mss		
sanzhi	ramazan	0067	a hill		loc		
sanzhi	ramazan	0068	petrol station		inm		
sanzhi	ramazan	0069	a bucket of fuel		inm		
sanzhi	ramazan	0070	attendant at 0068		hum		
sanzhi	ramazan	0071	money for 0069		inm		
sanzhi	ramazan	0072	a no entry sign		inm		
sanzhi	ramazan	0073	other people at 0068		hum		
sanzhi	ramazan	0074	one of 0073		hum	< 0073	
sanzhi	ramazan	0075	another of 0073		hum	< 0073	
sanzhi	ramazan	0076	another bucket		inm		
sanzhi	ramazan	0077	such		abs		
sanzhi	ramazan	0078	what 0011 had done		abs		
sanzhi	ramazan	0079	0070 and 0073		hum	> 0070, 0073	
sanzhi	ramazan	0081	like that		abs		
sanzhi	ramazan	0082	place like 0081		loc		
sanzhi	ramazan	0083	events		abs		
sanzhi	ramazan	0084	event		abs		
sanzhi	ramazan	0085	Estonia		loc		
sanzhi	ramazan	0086	a person		hum		
sanzhi	ramazan	0087	Estonians		hum		
sanzhi	ramazan	0088	Icari people		hum		
sanzhi	ramazan	0089	market		loc		
sanzhi	ramazan	0090	bus		inm		
sanzhi	ramazan	0091	a town		loc		
sanzhi	ramazan	0092	Latvians		hum		
sanzhi	ramazan	0093	people who do not speak Latvian		hum		
sanzhi	ramazan	0094	Moldova		loc		
sanzhi	ramazan	0095	home of 0011		loc		
sanzhi	ramazan	0096	0001 and 0000		hum	> 0001, 0000	
sanzhi	ramazan	0097	this kind of thing		abs		
sanzhi	ramazan	0098	that		abs		
sanzhi	tape	0000	Kajakent		loc		
sanzhi	tape	0001	speaker and friends		hum		
sanzhi	tape	0002	Abdulkhalik		hum	< 0000	
sanzhi	tape	0003	Isakadi		hum	< 0000	
sanzhi	tape	0004	(speaker)		hum	< 0000	
sanzhi	tape	0005	work of 0000		abs		
sanzhi	tape	0006	survey		abs		
sanzhi	tape	0007	roundabout		inm		
sanzhi	tape	0008	one side of 0007		loc	M 0007	
sanzhi	tape	0009	a place		loc		
sanzhi	tape	0010	0000 and 0002		hum	> 0000, 0002	
sanzhi	tape	0011	here		loc		
sanzhi	tape	0012	car		inm		
sanzhi	tape	0013	shop		inm		
sanzhi	tape	0014	assistant		hum		
sanzhi	tape	0015	tape		inm		
sanzhi	tape	0016	one roll of 0015		inm		
sanzhi	tape	0017	mouth of 0002		bdp	M 0002	
sanzhi	tape	0018	surveyors		hum		
teop	iar	0004	moon	girl	hum	> 0093, 0099; < 0077, 0118	referent introduced on a meta level
teop	iar	0005	hena	name of 0004	abs		
teop	iar	0006	ta vasu	little piece of stone 0004 is made of	inm		
teop	iar	0010	moon	a woman	hum	< 0042, 0064, 0077, 0091	
teop	iar	0011	inu	house of 0010	loc		
teop	iar	0012	oil	oil	mss		
teop	iar	0017	piuvu	piuvu dance	abs		
teop	iar	0020	poa	shelf	loc		
teop	iar	0021	nahu	pot	inm		
teop	iar	0022	nahu	clay pot for 0006	loc		
teop	iar	0024	moon	women	hum		
teop	iar	0025	nahu	many pots of 0024	inm		
teop	iar	0026	nahu	pots with pork	inm	< 0025	
teop	iar	0027	nahu	pots with taro	inm	< 0025	
teop	iar	0028	nahu	pots with fish	inm	< 0025	
teop	iar	0041	muta-naa	husband	hum	< 0042, 0064, 0077	
teop	iar	0042	ori	0041 and 0010	hum	> 0041, 0010; < 0064, 0077	
teop	iar	0046	paepa	birth certificate	inm		
teop	iar	0047	inu vahuhu	hospital	loc		
teop	iar	0048	buku	book where children are registered	inm		
teop	iar	0049	beiko	children that are registered in book	hum		
teop	iar	0051	tavaan	people around 0042	hum	< 0064, 0077	
teop	iar	0053	paku	feast	abs		
teop	iar	0054	taba-an	lots of food	mss		
teop	iar	0055	mohina	garden	loc		
teop	iar	0056	taro	taro	inm	< 0067	
teop	iar	0057	pauna	banana	inm	< 0067	
teop	iar	0058	voi	yam	inm	< 0067	
teop	iar	0061	vaan	village	loc		
teop	iar	0063	bon	the day when the garden is ready to be harvested	tme		
teop	iar	0064	a-re	0042 and 0051	hum	< 0077	
teop	iar	0065	guu	pigs for the feast	anm		
teop	iar	0066	iana	fish for the feast	anm		
teop	iar	0067	vaa	food from the garden	inm		
teop	iar	0068	piuvu	piuvu dance	abs		
teop	iar	0069	koomaa	chanting	abs		
teop	iar	0070	beera	chief in the village	hum	< 0077	
teop	iar	0072	karavus	garamut drum	inm		
teop	iar	0073	moon	the women of 0051	hum	< 0051, 0091	
teop	iar	0074	abana	the men of 0051	hum	< 0051	
teop	iar	0075	inu	house of 0070	loc		
teop	iar	0076	moroko	speech	abs		
teop	iar	0077	eara	0070 and 0064	hum	> 0070, 0064, 0051, 0042, 0041, 0010, 0004	
teop	iar	0078	hagi	dance	abs		
teop	iar	0079	tookiu	one week (during which the men go fishing)	tme		
teop	iar	0080	tookiu	next week (when the men come back)	tme		
teop	iar	0081	Monday	Monday next week	tme		
teop	iar	0082	bon	night	tme		
teop	iar	0083	subunubu	tomorrow	tme		
teop	iar	0085	rapa-n=	side of the house of 0070	loc		
teop	iar	0087	vohu	belts of 0004	inm	< 0092	
teop	iar	0088	kara	strings of 0004	inm	< 0092	
teop	iar	0089	taba	things from the bush of 0004	inm	< 0092	
teop	iar	0090	rasuu	bush	loc		
teop	iar	0091	ori	0073 and 0010 (= the women from the village)	hum	> 0073, 0010	
teop	iar	0092	bari	belts, strings and things from the bush (0087, 0088, 0089)	inm	> 0087, 0088, 0089	
teop	iar	0093	moo	legs of 0004	body part of 0004	< 0004	
teop	iar	0094	hena	name of 0004	abs		
teop	iar	0095	beiko	children	hum		
teop	iar	0096	otei	a man	hum	< 0098	
teop	iar	0097	taba-an	food	mss		
teop	iar	0098	am	0096 and family	hum		
teop	iar	0099	suin	body of 0004	inm	< 0004	
teop	iar	0100	tahii	sea	loc		
teop	iar	0101	ruene	river	loc		
teop	iar	0102	ruene	water	loc		
teop	iar	0103	konoboo	oil	mss		
teop	iar	0104	mohina	garden 0004 can make	loc		
teop	iar	0107	naono	firewood	inm		
teop	iar	0108	kiu	work 0004 can do	abs		
teop	iar	0109	taba-an	food	mss		
teop	iar	0112	roanabai	mother in law	hum	< 0098, 0118	
teop	iar	0113	avue	sister in law	hum	< 0098	
teop	iar	0114	roanabai	males in law	hum	< 0098	
teop	iar	0115	roanabai	females in law	hum	< 0098	
teop	iar	0116	avue	sisters in law	hum	< 0098	
teop	iar	0117	raen	nc	hum		
teop	iar	0118	ori	0112 and 0004	hum	> 0112, 0004	
teop	iar	0119	vagana	fish	anm		
teop	iar	0123	taba	things	mss		
teop	iar	0124	puhana	high tide	abs		
teop	iar	0125	irihi	edge of the reef	loc		
teop	iar	0126	masi	dry reef	loc		
teop	mat	0001	vaan	village	loc		
teop	mat	0002	beiko	little children in the village	hum		
teop	mat	0003	moon	pregnant woman in the village	hum	< 0020, 0022, 0025	
teop	mat	0004	bai	mango tree	loc		
teop	mat	0006	bai	mango the pregnant woman would like to eat (direct speech)	inm		depicted reality
teop	mat	0008	pusu	stump of the mango tree	inm		
teop	mat	0009	ZERO	mangos in the tree the woman throws at	inm	> 0010	
teop	mat	0010	bai	mango that falls down	inm	< 0009	
teop	mat	0011	roosuu	giant sitting in front of a cave	anm	< 0022, 0025	
teop	mat	0013	avaava	cave	loc	< 0014	
teop	mat	0014	matavus	door of the cave	inm	< 0013	
teop	mat	0015	tavaan	people of the village looking for the woman	hum		
teop	mat	0018	beiko	child	hum	< 0020, 0022	
teop	mat	0019	vuhun	bow the giant makes for the child	inm		
teop	mat	0020	ori	the woman and the child	hum	> 0003, 0018	
teop	mat	0021	guu	pig giant brings back from pig hunting	anm		
teop	mat	0022	ori	the woman, the child and the giant	anm	> 0003, 0018, 0011	
teop	mat	0023	tabaan	unsalted food	mss		
teop	mat	0024	tahii	saltwater	mss		
teop	mat	0025	a-re	the woman and the giant	anm	> 0003, 0011	
teop	mat	0026	subunubu	tomorrow (the day the giant will get saltwater)	tme		
teop	mat	0027	kururu	bamboo giant cuts	inm		
teop	mat	0028	kasuana	beach where the giant gets saltwater	loc		
teop	mat	0029	mohina	garden of the grandmother	loc		
teop	mat	0030	suburi	grandparents of 0018	hum	> 0031, 0033	
teop	mat	0031	sumeke	the old man (the grandfather)	hum	< 0030	
teop	mat	0032	voora	mountains	loc		
teop	mat	0033	ZERO	grandmother	hum	< 0030	
teop	mat	0034	pauna	banana plant	loc		
teop	mat	0035	pauna	bananas of 0034	inm		
teop	mat	0036	tabaan	food for 0003 who had disappeared	mss		
teop	mat	0037	mohina muu	taro garden of 0030	loc		
teop	mat	0038	inu	house of 0030	loc		
teop	mat	0039	guu	pigs that are butchered for 0020	anm		
teop	mat	0040	tabaan	all kinds of food to be prepared for 0020	mss		
teop	mat	0041	night	time when food will be prepared (in the night)	tme		
teop	mat	0042	veoveo	the village square	loc		
teop	sii	0001	roosuu	giant	hum	< 0011, 0118	
teop	sii	0002	naovana	all kinds of animals the giant can change into	anm		
teop	sii	0005	tobara otei	group of men sitting on the beach	hum	> 0041, 0039, 0036, 0035, 0034, 0033, 0032, 0048, 0052, 0053, 0068, 0069, 0071, 0078, 0080, 0083, 0088, 0091, 0094, 0101, 0114, 0120, 0122, 0067, 0141, 0143; < 0011, 0128	
teop	sii	0006	kasuana	the beach	loc		
teop	sii	0008	tahii	sea	loc		
teop	sii	0009	taba	another thing taught by the giant (actual one)	abs		
teop	sii	0010	ariono	ariono vines (actual ones)	inm		
teop	sii	0011	eara	the giant and the group of men	hum	> 0001, 0005, 0041, 0039, 0036, 0035, 0034, 0033, 0032, 0048, 0052, 0053, 0068, 0069, 0071, 0078, 0080, 0083, 0088, 0091, 0094, 0101, 0114, 0120, 0118, 0122, 0067, 0143; < 0128	
teop	sii	0012	kave	nets for catching fish	inm		
teop	sii	0013	rasuu	jungle	loc		depicted reality
teop	sii	0014	raviana	raviana vines to be cut in the jungle (plan of giant, not actual ones)	inm		depicted reality
teop	sii	0015	ariono	ariono vines (plan of giant, not actual ones)	inm		depicted reality
teop	sii	0016	kara	fibre in the middle of the ariono vines	inm		
teop	sii	0017	kanono	string for the net made of fibre of ariono vines	inm		
teop	sii	0018	roava	sun	inm		
teop	sii	0020	taba	another thing to be taught by the giant (plan of giant, not actual thing)	abs		
teop	sii	0021	kara kave	kave vines cut by the men and the giant	inm		
teop	sii	0025	ZERO	actual nets the fishermen tie	inm	> 0042	
teop	sii	0027	baoru	bamboo frame	inm	> 0123	
teop	sii	0029	kanono	ropes	inm		
teop	sii	0030	hum	these two parts (the pulling and opening of the net)	abs		
teop	sii	0032	vapara-me=	partners of each man in the group of men	hum	< 0005, 0011, 0128	
teop	sii	0033	enam	one group of partners	hum	< 0005, 0011, 0128	
teop	sii	0034	enam	one group of partners	hum	< 0005, 0011, 0128	
teop	sii	0035	enam	one group of partners	hum	< 0005, 0011, 0128	
teop	sii	0036	enam	one group of partners	hum	< 0005, 0011, 0128	
teop	sii	0039	aba	missing partner for the giant	hum	< 0005, 0011, 0128	
teop	sii	0041	otei	man who does not have a net	hum	< 0005, 0011, 0128	
teop	sii	0042	ZERO	one of the nets, used by giant and his partner	inm	< 0025	
teop	sii	0043	kae	bags of the men	inm		
teop	sii	0044	sinivi	canoes of the men	inm	> 0079, 0087, 0090, 0093, 0110, 0125	
teop	sii	0045	iana	fish	inm		
teop	sii	0047	moon	women of the men	hum	< 0128	
teop	sii	0048	otei	one man in the group of men	hum	< 0005, 0011, 0128	
teop	sii	0049	hagi	dances the woman make in the gogi celebration	abs		
teop	sii	0050	mararae	joy of the women about the catched fish	abs		
teop	sii	0051	ZERO	the fishing	abs		
teop	sii	0052	ean	one man of the group	hum	< 0005, 0011, 0128	
teop	sii	0053	ean	one man of the group	hum	< 0005, 0011, 0128	
teop	sii	0054	ei	clans of the men in the group	abs		
teop	sii	0055	too Karipa	Karipa clan	abs		
teop	sii	0056	an	man from the Karipa clan	hum		
teop	sii	0057	moon	woman from the Boen clan	hum		
teop	sii	0058	moon	woman from the NaoBoen clan	hum		
teop	sii	0059	manae	men from the NaoKaripa clan	hum		
teop	sii	0061	abana	men of the NaoBoen clan	hum		
teop	sii	0064	iana	fish	anm	> 0081; < 0076	
teop	sii	0067	ZERO	team of beaters	hum	< 0005, 0011, 0128	
teop	sii	0068	naba	group of blockade paddlers	hum	> 0069, 0071; < 0005, 0011, 0128	
teop	sii	0069	meha	one of the group of blockade paddlers	hum	< 0005, 0011, 0068, 0128	
teop	sii	0070	kave	net of 0069	inm		
teop	sii	0071	meha	one of the group of blockade paddlers	hum	< 0005, 0011, 0068, 0128	
teop	sii	0072	kave	net of 0071	inm		
teop	sii	0076	iana	fish from both first rounds of fishing (0064 and 0077)	anm	> 0064, 0077, 0081, 0089, 0092, 0095; < 0086	
teop	sii	0077	iana	more fish in the sea	anm	> 0081; < 0076	
teop	sii	0078	otei	one man in the group of men	hum	> 0080; < 0005, 0011, 0128,	
teop	sii	0079	sinivi	canoe of 0078	inm	< 0044	
teop	sii	0080	nam	our (0078 and his partner)	hum	< 0005, 0011, 0078, 0128	
teop	sii	0081	iana	fish filling the canoe of 0080	anm	< 0077, 0064, 0076	
teop	sii	0082	hum	this part to be left for next time	inm		
teop	sii	0083	meha	another man of the group	hum	< 0005, 0011, 0128	
teop	sii	0084	vaa-sun	one more round of fishing	abs		
teop	sii	0085	taba	one thing that was forgotten	abs		
teop	sii	0086	taba	the food that was cooked (taro and fish)	mss	> 0099, 0076, 0064, 0077, 0081, 0089, 0092, 0095	
teop	sii	0087	sinivi	one of the canoes	inm	< 0044	
teop	sii	0088	an	your (one of the men)	hum	< 0005, 0011, 0128	
teop	sii	0089	iana	one fish	inm	< 0076	
teop	sii	0090	sinivi	one of the canoes	inm	< 0044	
teop	sii	0091	an	one of the men	hum	< 0005, 0011, 0128	
teop	sii	0092	iana	one fish	inm	< 0076	
teop	sii	0093	sinivi	one of the canoes	inm	< 0044	
teop	sii	0094	an	one of the men	hum	< 0005, 0011, 0128	
teop	sii	0095	iana	one fish	inm	< 0076	
teop	sii	0096	tao-tao	act of baking and cooking	abs		
teop	sii	0097	papana	one cooking group	hum	< 0128	unclear if < 0005, or 0011, or 0047 or all of them
teop	sii	0098	papana	other cooking group	hum	< 0129	unclear if < 0005, or 0011, or 0047 or all of them
teop	sii	0099	taro	taro	inm	< 0086	
teop	sii	0101	otei	one man in the group of men	hum	< 0005, 0011, 0128	
teop	sii	0102	boni	this night	tme		
teop	sii	0104	va-goo-gogi	celebration	abs		
teop	sii	0105	iana	fish to be caught that night	anm	> 0106, 0108	
teop	sii	0106	aba	one of the fish to be caught	anm	< 0105	
teop	sii	0108	aba	one of the fish to be caught	anm	< 0105	
teop	sii	0110	sinivi	one of the canoes	inm	< 0044	
teop	sii	0111	iana	fish that are caught in the night	inm	> 0112, 0121	
teop	sii	0112	iana	one fish that was caught the giant wants	inm	< 0111	
teop	sii	0113	hena	name of the fish the giant wants	abs		
teop	sii	0114	otei	the man in the giant's canoe	hum	< 0005, 0011, 0118, 0128	
teop	sii	0116	iana	fish the man thinks is making the sound	anm	> 0117	
teop	sii	0117	vihi-na	tail of the fish	bdp	< 0116	
teop	sii	0118	nam	the giant and the man in his canoe	hum	> 0001, 0114; < 0011	
teop	sii	0120	papana	everyone in the group 0005 except for 0114	hum	< 0005, 0011, 0128	
teop	sii	0121	iana	fish that were caught by 0118 (giant and his partner)	inm	< 0111	
teop	sii	0122	otei	another man of the group	hum	< 0005, 0011, 0128	
teop	sii	0123	baoru	one of the bamboo frames	inm	< 0027	
teop	sii	0125	sinivi	the canoe 0114 got on to get away from the giant	inm	< 0044	
teop	sii	0127	beiko	children of the people in the village	hum	< 0128	
teop	sii	0128	ori	everybody in the village	hum	> 0005, 0047, 0127, 0041, 0039, 0036, 0035, 0034, 0033, 0032, 0048, 0052, 0053, 0068, 0069, 0071, 0078, 0080, 0083, 0088, 0091, 0094, 0101, 0114, 0120, 0122, 0067, 0130, 0141, 0143	
teop	sii	0129	vaan	the village	loc		
teop	sii	0130	taegoora	one man with sore bottom	hum	< 0128	
teop	sii	0131	avaava	cave of the giant	loc	> 0139	
teop	sii	0132	koara	decision what to do about the giant	abs		
teop	sii	0134	tabaan	food	mss		
teop	sii	0135	pusu kuhikuhi	war clubs	inm		
teop	sii	0136	toraara	axes	inm		
teop	sii	0137	ipoana	stone axes	inm		
teop	sii	0139	matavusu	door of the giant	inm	< 0131	
teop	sii	0141	papana	another group of the men	hum	< 0128, 0005, 0011	
teop	sii	0142	pusu kuhikuhi	war club	inm		
teop	sii	0143	aba	person that went to meet giant while others are hiding	hum	< 0128, 0005, 0011	
teop	sii	0144	taapeau	spears	inm		
teop	sii	0145	vasu	stones	inm		
teop	sii	0146	Boen	Boen clan	abs		
teop	sii	0147	NaoBoen	NaoBoen clan	abs		
teop	sii	0148	NaoKaripa	NaoKaripa clan	abs		
teop	viv	0001	otei	man (Piipii)	hum	> 0021, 0022, 0026	
teop	viv	0003	ruene	river	loc		
teop	viv	0004	vasu	stone	inm		
teop	viv	0007	nubunubu	morning when he goes to the river to wash and sunbathe	tme		
teop	viv	0008	hum	place where sun shines	loc		
teop	viv	0009	roava	sun	inm		
teop	viv	0011	otei	two men	hum	> 0012, 0013	
teop	viv	0012	meha	one of the two men (with a blind eye)	hum	< 0011	
teop	viv	0013	meha	the other one of the two men (with a rotten nose)	hum	> 0035; < 0011	
teop	viv	0014	nubunubu	the next morning	tme		
teop	viv	0015	beiko	other little children bathing in the river	hum		
teop	viv	0017	ta naono	actual piece of wood the giants use	inm		
teop	viv	0018	hopo	cave of the two giants	loc		
teop	viv	0019	vakokona	plan the giants make	abs		
teop	viv	0020	ta naono	a piece of wood the giants want to get	inm		
teop	viv	0021	moo	the feet of 0001	body part	< 0001	
teop	viv	0022	kuri	the hands of 0001	body part	< 0001	
teop	viv	0023	hanana	track the giants are walking on	loc		
teop	viv	0024	vakokona	idea 0001 has to rescue himself	abs		
teop	viv	0025	kara	string on hands of 0001	inm		
teop	viv	0026	suin	body of 0001	body part	< 0001	
teop	viv	0028	pea	branch hanging on the track	inm		
teop	viv	0030	naono	tree	inm		
teop	viv	0031	vaan	village	loc		
teop	viv	0032	naono	trees the giants look up to find the boy	inm		
teop	viv	0035	mata	eyes of Rottennose (one of the giants)	body part	< 0013	
teop	viv	0036	pusu	base of the tree 0001 is sitting on	loc		
teop	viv	0037	peha	one of the giants	hum	< 0011	
teop	viv	0038	ZERO	one of the giants	hum	< 0011	
veraa	anv	0001	ruwa	married couple	hum	> 0002, 0004	
veraa	anv	0002	ren̄e	woman, wife of 0004	hum	< 0001	
veraa	anv	0003	ni'i ren̄e	child of 0002 and 0004	hum		
veraa	anv	0004	'ama	husband of 0002, father of 0003	hum	< 0001	
veraa	anv	0005	maru	uncle of 0003	hum	< 0015	
veraa	anv	0006	'ōnō 'ev'ē voruo'	litter place	loc		
veraa	anv	0007	ren̄e	close friend of 0003	hum	< 0015	
veraa	anv	0008	voruo'	rubbish	inm		
veraa	anv	0009	tētē	two babies	hum		
veraa	anv	0010	kolo	back of 0007	bdp	M 0007	
veraa	anv	0011	'uvu woqe'enge	tree	inm		
veraa	anv	0012	bē	water	inm		depicted reality
veraa	anv	0013	wovinqa	coconut shells	inm		depicted reality
veraa	anv	0014	dudu n̄ar	nangae leaves	inm		depicted reality
veraa	anv	0015	dē	0007 and 0005	hum	> 0007, 0005	depicted reality
veraa	anv	0016	gogov	clothes of 0009	inm		
veraa	anv	0018	babara	shooting contest	loc		
veraa	anv	0019	vus	bows	inm		
veraa	anv	0020	wō'iqē	arrows	inm		
veraa	anv	0021	dir	'they'; probably the aunt, uncle and the two babies (0005, 0007, 0015, 0009)	hum	> 0005, 0007, 0015, 0009	
veraa	anv	0022	'ili	chicken egg	inm		
veraa	anv	0024	raga	everybody there	hum		
veraa	anv	0025	tōo	chickens hatched from 0022	anm		depicted reality
veraa	anv	0026	ren̄e	woman looking after the twins (0009)	hum		
veraa	anv	0027	bēlēl	chicken basket	inm		depicted reality
veraa	anv	0028	ge	first one of the twins	anm	< 0009	
veraa	anv	0029	ge	second one of the twins	anm	< 0009	
veraa	anv	0030	'ili	m̄ala eggs	inm		depicted reality
veraa	anv	0031	dom	yams	inm		
veraa	anv	0032	baka	nambanga tree	inm		
veraa	anv	0033	tōo	first one of the chickens	anm	< 0025	
veraa	anv	0034	tōo	second one of the chickens	anm	< 0025	
veraa	anv	0035	gaga	nambanga vine	inm		
veraa	anv	0036	aval	the other side	loc		
veraa	anv	0037	qaran̄a	gorge	loc		
veraa	anv	0038	raga	everybody at home	hum		depicted reality
veraa	anv	0039	raga	everybody	hum		
veraa	anv	0040	wōm̄ōm̄ō'	bush	loc		
veraa	anv	0041	naw	sea	loc		
veraa	anv	0042	busu	finger of 0029	bdp	M 0029	
veraa	anv	0043	busu	finger of 0028	bdp	M 0028	
veraa	anv	0044	busu	fingers of 0028 and 0029	bdp	> 0042, 0043	
veraa	as1	0001	kaka	story to be told	abs		
veraa	as1	0002	ruwa	two brothers	hum	> 0017, 0018; < 0009	
veraa	as1	0003	raw	intra-sex pig the two brothers want	anm		
veraa	as1	0004	Lēmērig	Lēmērig	loc		
veraa	as1	0005	Vatov	Vatov	loc		
veraa	as1	0006	Dōl	Dōl	anm	> 0032; < 0009	
veraa	as1	0007	ZERO	(shell) money the brothers have	inm		
veraa	as1	0008	raw	the intra-sex pig the brothers buy	anm		
veraa	as1	0009	gidō'ōl	Dōl and the two brothers	hum	> 0002, 0006	
veraa	as1	0010	'ēqē'	garden	loc		
veraa	as1	0011	qe'e	taro	inm		
veraa	as1	0012	rōrō'	cabbage	inm		
veraa	as1	0013	gie	kava	inm		
veraa	as1	0014	nim̄ē	house	loc		
veraa	as1	0015	n̄ar	canarium nuts	inm		
veraa	as1	0016	wig	wig pudding	mss		
veraa	as1	0017	'uwam̄ēre	firstborn of the two brothers	hum	> 0020, 0021; < 0002	
veraa	as1	0018	'isim̄ēre	second born of the two brothers	hum	< 0002	
veraa	as1	0019	wōvēre	coconut fibres	inm		
veraa	as1	0020	wōbin	penis of 0017	bdp	M 0017	
veraa	as1	0021	'irbē	body of 0017	bdp	M 0017	
veraa	as1	0022	nim̄	toilet	loc		
veraa	as1	0023	ma'av	breakfast	mss		
veraa	as1	0024	bē	river	loc		
veraa	as1	0025	so	name of river	abs		
veraa	as1	0026	vus	bow	inm		
veraa	as1	0027	wōvinqa	coconut shell	inm		
veraa	as1	0028	'an̄a	basket	inm		
veraa	as1	0029	bē	water	mss		
veraa	as1	0030	mērē	urine	mss		
veraa	as1	0031	uvu	tree	inm		
veraa	as1	0032	nōgō	changed face of 0006	bdp	M 0006	
veraa	as1	0033	raw	intra-sex pig needed for 0029	inm		
veraa	gabg	0001	buskat	cat	anm	> 0022; < 0003	
veraa	gabg	0002	gōsuwō	rat	anm	> 0021, 0027, 0030, 0031; < 0003	
veraa	gabg	0003	duru	the cat and the rat	anm	> 0001, 0002	
veraa	gabg	0004	vunu	island	loc		
veraa	gabg	0005	nim̄ē	house	loc		
veraa	gabg	0006	lo	the seaside	loc		
veraa	gabg	0007	me'	reef	loc		
veraa	gabg	0009	naw	saltwater	mss		
veraa	gabg	0010	vus	bow	inm		
veraa	gabg	0011	qē	fishing rod	inm		
veraa	gabg	0012	bēlēl	basket for fish	inm		
veraa	gabg	0013	n̄ērē'iē	shore	loc		
veraa	gabg	0014	'ēqē	garden	loc		
veraa	gabg	0015	mes	fish cat and rat have caught	inm		
veraa	gabg	0016	wova'al	pawpaws	inm		
veraa	gabg	0017	'uvu'	pawpaw trees in garden	inm	> 0018	
veraa	gabg	0018	'uvu'	one of the pawpaw trees	inm	> 0025; < 0017	
veraa	gabg	0019	wēwē	fruits of 0018	inm	> 0020	
veraa	gabg	0020	wēwē	only fruit of the pawpaw tree that was ripe	inm	< 0019	
veraa	gabg	0021	wulen	fingernails of the rat	bdp	M 0002	
veraa	gabg	0022	wō-wōle	fingernails of the cat	bdp	M 0001	
